Timestamp,Op-Count,,,Byte-Count,,,Avg-ResTime,,,Avg-ProcTime,,,Throughput,,,Bandwidth,,,Succ-Ratio,,,Version-Info,,
,read,write,delete,read,write,delete,read,write,delete,read,write,delete,read,write,delete,read,write,delete,read,write,delete,Min-Version,Version,Max-Version
19:28:07,120,2158,109,7047000,138676000,0,4.12,17.47,13.5,4.12,17.47,13.5,23.98,431.33,21.79,1408351.06,27717947.28,0,100%,100%,100%,0,0,0
19:28:12,175,3491,205,10888000,225975000,0,3.55,10.67,9.49,3.54,10.67,9.49,34.69,692.23,40.66,2158310.47,44809333.12,0,100%,100%,100%,1,1,1
19:28:17,102,1943,90,5956000,125404000,0,3.75,19.7,16.5,3.75,19.7,16.5,20.16,383.86,17.79,1177671.85,24776392.58,0,100%,100%,100%,2,2,2
19:28:22,75,1118,67,4272000,71320000,0,4.04,25.24,20.03,4.03,25.24,20.03,14.97,223.2,13.38,852954.74,14238885.93,0,100%,100%,100%,3,3,3
19:28:27,21,365,19,1439000,22906000,0,4.19,26.66,15.53,4.19,26.66,15.53,8.26,143.49,7.47,565702.07,9004816.74,0,100%,100%,100%,4,4,4
19:28:32,8,104,5,506000,6469000,0,3.25,420.65,925,3.25,420.65,925,2.04,30.15,1.64,119900.24,1862949.63,0,100%,100%,100%,5,5,5
19:28:37,14,223,10,896000,14209000,0,4.57,171.83,203.6,4.57,171.83,203.6,2.77,44.09,1.98,177291.27,2809403.43,0,100%,100%,100%,6,6,6
19:28:42,198,3736,182,11824000,238038000,0,3.6,10.01,7.16,3.58,10.01,7.16,39.56,746.46,36.36,2362668.14,47560671.97,0,100%,100%,100%,7,7,7
19:28:47,79,1320,78,4911000,85991000,0,3.46,28.4,26.73,3.44,28.4,26.73,15.76,263.37,15.57,979379.37,17156742.3,0,100%,100%,100%,8,8,8
19:28:52,230,4120,234,13907000,263637000,0,3.68,9.14,6.81,3.66,9.14,6.81,45.05,807.91,45.84,2725622.71,51687147.24,0,100%,100%,100%,9,9,9
19:28:57,12,213,18,657000,13797000,0,3.33,180.5,104.06,3.33,180.5,104.06,2.38,42.21,3.56,130283.18,2733407.44,0,100%,100%,100%,10,10,10
19:29:02,116,2186,125,6667000,144500000,0,3.67,17.28,12.93,3.63,17.28,12.93,23.09,435.32,24.88,1327064.19,28775786.36,0,100%,100%,100%,11,11,11
19:29:07,14,235,15,1119000,15498000,0,4,175.56,366.93,4,175.56,366.93,2.21,38,2.39,178371.75,2508839.91,0,100%,100%,100%,12,12,12
19:29:12,5,140,5,452000,8626000,0,4.8,286.26,89.2,4.8,286.26,89.2,0.98,27.57,0.99,88714.91,1698146.8,0,100%,100%,100%,13,13,13
19:29:17,154,2816,150,9152000,179780000,0,3.73,13.3,10.53,3.7,13.3,10.53,30.77,562.64,29.97,1828600.38,35920426.24,0,100%,100%,100%,14,14,14
19:29:22,166,3169,162,9914000,208123000,0,3.74,12.06,7.95,3.72,12.06,7.95,32.59,622.79,31.86,1946121.56,40909552.69,0,100%,100%,100%,15,15,15
19:29:27,30,613,32,1864000,40522000,0,3.8,63.62,59.16,3.8,63.62,59.16,5.9,119.31,6.2,365822.08,7893455.24,0,100%,100%,100%,16,16,16
19:29:32,28,540,23,1781000,33287000,0,4.04,71.7,69.78,4.04,71.7,69.78,5.52,106.55,4.53,351149.42,6566415.18,0,100%,100%,100%,17,17,17
19:29:37,84,1792,102,4871000,112380000,0,3.95,24.11,16.49,3.94,24.11,16.49,14.73,317.43,18.27,855474.35,19885785.97,0,100%,100%,100%,18,18,18
19:29:42,0,15,0,0,1055000,0,N/A,2248.47,N/A,N/A,2248.47,N/A,0,2.22,0,0,156821.07,0,N/A,100%,N/A,19,19,19
19:29:47,7,174,7,527000,12282000,0,4.71,260.64,190.14,4.71,260.64,190.14,1.36,35.03,1.41,102400.4,2477291.72,0,100%,100%,100%,20,20,20
19:29:52,187,3195,168,11059000,203355000,0,3.65,11.72,9.12,3.63,11.72,9.12,37.18,634.94,33.38,2199124.43,40415203.41,0,100%,100%,100%,21,21,21
19:29:57,110,1699,92,6695000,107836000,0,3.65,23.39,12.21,3.65,23.39,12.21,20.26,314.97,17.19,1239935.36,19996450.84,0,100%,100%,100%,22,22,22
19:30:02,158,2782,145,9569000,177425000,0,3.84,13.61,7.67,3.82,13.61,7.67,31.58,556.14,28.99,1912877.11,35468719.36,0,100%,100%,100%,23,23,23
19:30:07,159,2606,132,9542000,170712000,0,3.69,14.24,15.09,3.67,14.24,15.09,31.73,520.02,26.34,1904186.58,34064545.63,0,100%,100%,100%,24,24,24
19:30:12,30,539,37,1842000,34749000,0,3.4,25.98,23.11,3.4,25.98,23.11,5.98,107.46,7.37,367143.1,6928047.39,0,100%,100%,100%,25,25,25
19:30:17,0,0,N/A,N/A,0,0,N/A,26,26,26
19:30:22,124,2221,127,7339000,140631000,0,3.4,39,10.49,3.39,39,10.49,28.87,531.51,30.39,1697956.66,33669174.46,0,100%,100%,100%,27,27,27
19:30:27,12,203,14,1024000,13017000,0,4.25,191.17,94.5,4.25,191.17,94.5,2.38,40.38,2.78,203507.72,2589061.87,0,100%,100%,100%,28,28,28
19:30:32,172,3414,192,9851000,219386000,0,3.45,11.05,6.26,3.45,11.05,6.26,34.37,682.17,38.36,1968408.4,43836968.25,0,100%,100%,100%,29,29,29
19:30:37,75,1490,70,4650000,93609000,0,3.83,25.76,15.77,3.81,25.76,15.77,14.99,297.8,13.99,929323,18709149.82,0,100%,100%,100%,30,30,30
19:30:42,266,4980,271,16273000,320789000,0,3.52,7.39,5.47,3.52,7.39,5.47,53.12,994.56,54.13,3249553.46,64065320.32,0,100%,100%,100%,31,31,31
19:30:47,158,2889,158,9134000,182650000,0,3.35,12.93,10.74,3.35,12.93,10.74,31.58,577.54,31.59,1825894.22,36513648.42,0,100%,100%,100%,32,32,32
19:30:52,214,3511,204,13368000,222998000,0,3.34,10.53,9.98,3.33,10.53,9.98,42.61,699.01,40.61,2661731.92,44395914.93,0,100%,100%,100%,33,33,33
19:30:57,6,155,2,145000,10288000,0,4,413.48,35.5,4,413.48,35.5,0.72,19.07,0.25,17287.11,1265034.81,0,100%,100%,100%,34,34,34
19:31:02,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,N/A,N/A,N/A,35,35,35
